month,incorporations,dissolutions,company_insolvencies
2024-06,61311,48688,2420
2024-07,64519,67008,2055
2024-08,63639,49622,1905
2024-09,65568,54208,1939
2024-10,71145,71643,1706
2024-11,61373,50848,1983
2024-12,50962,80423,1928
2025-01,69342,61893,2043
2025-02,67406,66797,2039
2025-03,76528,61397,2007
2025-04,72317,81231,2028
2025-05,69592,55691,2207
2025-06,69879,48503,2028
2025-07,73913,90386,2054
2025-08,67971,61088,2015
2025-09,76202,83031,1966
2025-10,75935,52363,2010
2025-11,59760,56152,1852
2025-12,51039,68538,1691
2026-01,71705,59233,1764
2026-02,60465,62882,1907
2026-03,74117,69192,2037
2026-04,67601,55202,2085
2026-05,62523,59295,
